Hotel_Name,Hotel_Address,Average_Score,lat,lng,location,country,address
H tel des Ducs D Anjou,1 Rue Sainte Opportune 1st arr 75001 Paris France,7.7,48.8598229,2.347111,Paris,France,"1, Rue Sainte-Opportune, Des Halles, Paris, Paris, 75001, France"
Hotel Scribe Paris Opera by Sofitel,1 Rue Scribe 9th arr 75009 Paris France,8.6,48.8704175,2.3296832,Paris,France,"1, Rue Scribe, Chaussee d'Antin, Paris, Paris, 75009, France"
Novotel London West,1 Shortlands Hammersmith and Fulham London W6 8DR United Kingdom,8.3,51.4919588,-0.2200956,London,United Kingdom,"Novotel London West, 1, Shortlands, Brook Green, London Borough of Hammersmith and Fulham, London, Greater London, England, W6 8DR, United Kingdom"
Haymarket Hotel,1 Suffolk Place Westminster Borough London SW1Y 4HX United Kingdom,9.6,51.5084595,-0.1311382,London,United Kingdom,"1-5, Suffolk Place, Charing Cross, London, Greater London, SW1Y 4HX, United Kingdom"
Intercontinental London The O2,1 Waterview Drive Greenwich London SE10 0TW United Kingdom,9.4,51.5024348,-0.0002497,London,United Kingdom,"1, Waterview Drive, North Greenwich, London, Greater London, E14 9QN, United Kingdom"
H tel Juliana Paris,10 12 rue Cognacq Jay 7th arr 75007 Paris France,8.6,48.8619373,2.3040298,Paris,France,"12, Rue Cognacq-Jay, Gros Caillou, Paris, Paris, 75007, France"
Hotel L Antoine,10 12 rue de Charonne 11th arr 75011 Paris France,8.9,48.8524215,2.3743832,Paris,France,"12, Rue De Charonne, La Roquette, Paris, Paris, 75011, France"
Belfast,10 avenue Carnot 17th arr 75017 Paris France,7.7,48.8756435,2.2938788,Paris,France,"10, Avenue Carnot, Ternes, Paris, Paris, 75017, France"
Shangri La Hotel Paris,10 Avenue D I na 16th arr 75016 Paris France,9.3,48.8637135,2.2934759,Paris,France,"10, Avenue Des Nations Unies, Chaillot, Paris, Paris, 75016, France"
Mercure Paris Tour Eiffel Pont Mirabeau,10 Avenue Emile Zola 15th arr 75015 Paris France,8.0,48.8460269,2.2788281,Paris,France,"10, Avenue Emile Zola, Javel, Paris, Paris, 75015, France"
Knightsbridge Hotel,10 Beaufort Gardens Kensington and Chelsea London SW3 1PT United Kingdom,9.1,51.4980052,-0.1643238,London,United Kingdom,"Knightsbridge Hotel, 10, Beaufort Gardens, Hans Town, Chelsea, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW3 1PY, United Kingdom"
The London EDITION,10 Berners Street Westminster Borough London W1T 3NP United Kingdom,9.1,51.5167472,-0.135965,London,United Kingdom,"10, Berners Street, Fitzrovia, London, Greater London, W1T 3NP, United Kingdom"
The Cranley Hotel,10 Bina Gardens South Kensington Kensington and Chelsea London SW5 0LA United Kingdom,7.8,51.4916378,-0.1832833,London,United Kingdom,"The Cranley, 10, Bina Gardens, The Boltons, South Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW5 0JP, United Kingdom"
Hotel Le 10 BIS,10 Bis rue du D barcad re 17th arr 75017 Paris France,9.2,48.8780363,2.2864907,Paris,France,"Le 10 Bis, Ternes, Paris, Paris, France"
The Nadler Soho,10 Carlisle Street Westminster Borough London W1D 3BR United Kingdom,9.0,51.5147387,-0.1341108,London,United Kingdom,"10, Carlisle Street, Soho, London, Greater London, W1F 0BJ, United Kingdom"
Grange St Paul s Hotel,10 Godliman Street City of London London EC4V 5AJ United Kingdom,8.5,51.5127625,-0.0997157,City of London,United Kingdom,"Leonardo Royal Hotel London St Paul's, 10, Godliman Street, Blackfriars, City of London, Greater London, England, EC4V 5AJ, United Kingdom"
The Ampersand Hotel,10 Harrington Road Kensington and Chelsea London SW7 3ER United Kingdom,9.1,51.4943077,-0.1755579,London,United Kingdom,"The Drawing Rooms, 10, Harrington Road, The Boltons, Brompton, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW7 2LB, United Kingdom"
Covent Garden Hotel,10 Monmouth Street Camden London WC2H 9HB United Kingdom,9.4,51.5145986,-0.1270336,London,United Kingdom,"Covent Garden Hotel, 10, Monmouth Street, Seven Dials, Bloomsbury, London Borough of Camden, London, Greater London, England, WC2H 9HB, United Kingdom"
The Nadler Victoria,10 Palace Place Westminster Borough London SW1E 5BW United Kingdom,9.3,51.4990259,-0.1427453,London,United Kingdom,"Borough, London, Greater London, SE1 0DB, United Kingdom"
Novotel London Tower Bridge,10 Pepys Street City of London London EC3N 2NR United Kingdom,8.6,51.5106538,-0.0773676,City of London,United Kingdom,"Novotel London Tower Bridge, 10, Pepys Street, Aldgate, City of London, Greater London, England, EC3N 2NR, United Kingdom"
Crowne Plaza Paris R publique,10 Place De La R publique 11th arr 75011 Paris France,8.0,48.8673199,2.3656296,Paris,France,"10, Place De La République, Folie-Mericourt, Paris, Paris, 75011, France"
Le Metropolitan a Tribute Portfolio Hotel,10 Place De Mexico 16th arr 75016 Paris France,8.3,48.8656973,2.2829776,Paris,France,"10, Place De Mexico, Porte Dauphine, Paris, Paris, 75016, France"
Atala Champs Elys es,10 rue Chateaubriand 8th arr 75008 Paris France,8.2,48.8735418,2.302442,Paris,France,"10, Rue Chateaubriand, Faubourg du Roule, Paris, Paris, 75008, France"
H tel de Jos phine BONAPARTE,10 rue d Ormesson 4th arr 75004 Paris France,9.0,48.8555319,2.3621212,Ormesson-sur-Marne,France,"10, Rue d'Amboile, Ormesson-sur-Marne, Ormesson-sur-Marne, Val-de-Marne, 94490, France"
Maison Souquet,10 rue de Bruxelles 9th arr 75009 Paris France,9.3,48.88366,2.3313845,Paris,France,"10, Rue De Bruxelles, Saint-Georges, Paris, Paris, 75009, France"
Hotel Tour d Auvergne Opera,10 Rue de la Tour d Auvergne 9th arr 75009 Paris France,8.3,48.8789432,2.3448623,Paris,France,"10, Rue De La Tour, La Muette, Paris, Paris, 75016, France"
Le Senat,10 rue de Vaugirard 6th arr 75006 Paris France,8.3,48.8491427,2.3397118,Paris,France,"10, Rue De Vaugirard, l'Odeon, Paris, Paris, 75006, France"
Windsor Opera,10 Rue Gabriel Laumain 10th arr 75010 Paris France,8.3,48.8734851,2.3485111,Paris,France,"10, Rue Gabriel Laumain, Porte Saint-Denis, Paris, Paris, 75010, France"
Holiday Inn Paris Montparnasse Pasteur,10 rue Gager Gabillot 15th arr 75015 Paris France,7.1,48.8376887,2.3063102,Paris,France,"10, Rue Gager-Gabillot, Saint-Lambert, Paris, Paris, 75015, France"
H tel Keppler,10 Rue Kepler 16th arr 75016 Paris France,9.1,48.8699103,2.2973386,Paris,France,"10, Rue Kepler, Chaillot, Paris, Paris, 75016, France"
Les Plumes Hotel,10 rue Lamartine 9th arr 75009 Paris France,8.8,48.8766269,2.3432886,Paris,France,"10, Rue Lamartine, Faubourg Montmartre, Paris, Paris, 75009, France"
